id;check;checking_peer;state;time
1;1;iosfiypdje;0;06:36:32
2;1;iosfiypdje;1;14:51:06
3;2;iosfiypdje;0;14:43:44
4;2;iosfiypdje;1;22:37:00
5;3;wbbmjueeye;0;02:38:53
6;3;wbbmjueeye;1;16:57:54
7;4;iosfiypdje;0;04:56:28
8;4;iosfiypdje;2;19:53:06
9;5;prbedzugjq;0;19:02:44
10;5;prbedzugjq;1;21:45:46
11;6;iosfiypdje;0;22:53:28
12;6;iosfiypdje;1;23:42:19
13;7;xshctjmsxa;0;15:15:49
14;7;xshctjmsxa;2;16:39:38
15;8;iosfiypdje;0;23:48:00
16;8;iosfiypdje;1;23:57:14
17;9;jlbpsacywv;0;07:43:11
18;9;jlbpsacywv;2;13:41:38
19;10;xdurlvroay;0;03:12:33
20;10;xdurlvroay;1;18:32:04
21;11;xnkdsaqcey;0;03:36:31
22;11;xnkdsaqcey;1;08:17:19
23;12;fkqelnsrss;0;07:42:33
24;12;fkqelnsrss;1;08:29:49
25;13;hhewkxwvzi;0;02:48:50
26;13;hhewkxwvzi;1;03:16:17
27;14;iosfiypdje;0;22:47:57
28;14;iosfiypdje;2;23:35:10
29;15;thyrtwnsgs;0;09:38:02
30;15;thyrtwnsgs;1;22:15:51
31;16;wbbmjueeye;0;02:26:47
32;16;wbbmjueeye;1;22:58:25
33;17;tsbtjfdece;0;09:44:55
34;17;tsbtjfdece;2;19:22:12
35;18;wbbmjueeye;0;18:10:06
36;18;wbbmjueeye;1;19:45:40
37;19;vexcsqfiqj;0;20:34:33
38;19;vexcsqfiqj;2;22:10:58
39;20;wbbmjueeye;0;23:12:53
40;20;wbbmjueeye;2;23:26:55
41;21;izxjnapetl;0;04:42:57
42;22;wbbmjueeye;0;13:04:14
43;22;wbbmjueeye;2;19:59:48
44;23;qgljzebhhh;0;03:35:28
45;23;qgljzebhhh;1;16:49:55
46;24;wbbmjueeye;0;03:22:47
47;24;wbbmjueeye;2;08:29:59
48;25;kztnjrkspn;0;21:40:01
49;25;kztnjrkspn;1;22:41:23
50;26;prbedzugjq;0;05:08:09
51;26;prbedzugjq;1;22:33:33
52;27;gylmepbguu;0;12:26:53
53;27;gylmepbguu;1;23:51:49
54;28;prbedzugjq;0;11:15:47
55;28;prbedzugjq;2;17:05:26
56;29;fjztnkwlhg;0;11:05:24
57;29;fjztnkwlhg;1;21:24:53
58;30;prbedzugjq;0;06:16:21
59;30;prbedzugjq;2;22:26:00
60;31;hyhhddrzho;0;19:43:31
61;31;hyhhddrzho;2;22:18:53
62;32;xshctjmsxa;0;18:53:30
63;32;xshctjmsxa;1;21:18:56
64;33;cyjmrrlgqe;0;22:33:41
65;33;cyjmrrlgqe;2;23:10:38
66;34;xshctjmsxa;0;18:59:31
67;34;xshctjmsxa;1;21:10:02
68;35;kcgpafloxc;0;15:45:10
69;35;kcgpafloxc;1;22:17:52
70;36;xshctjmsxa;0;18:34:13
71;36;xshctjmsxa;2;18:50:53
72;37;wofhxrcfmj;0;13:22:27
73;37;wofhxrcfmj;1;22:39:41
74;38;jlbpsacywv;0;20:25:20
75;38;jlbpsacywv;1;23:44:38
76;39;wvhpheepdh;0;16:59:15
77;39;wvhpheepdh;1;21:21:08
78;40;jlbpsacywv;0;19:42:24
79;40;jlbpsacywv;2;21:57:40
80;41;ecqnbfpiue;0;06:22:36
81;41;ecqnbfpiue;1;14:48:15
82;42;jlbpsacywv;0;03:00:26
83;42;jlbpsacywv;1;10:07:15
84;43;mzimoqmpll;0;09:31:42
85;44;jlbpsacywv;0;04:04:05
86;44;jlbpsacywv;1;15:09:49
87;45;grmgfwmbln;0;05:08:23
88;45;grmgfwmbln;2;17:48:33
89;46;jlbpsacywv;0;12:36:32
90;46;jlbpsacywv;2;17:18:25
91;47;krwjayqexx;0;06:18:33
92;47;krwjayqexx;1;10:46:53
93;48;jlbpsacywv;0;18:27:51
94;48;jlbpsacywv;2;22:48:48
95;49;rpwqhaxkeu;0;22:44:19
96;49;rpwqhaxkeu;2;23:27:17
97;50;jlbpsacywv;0;14:53:35
98;50;jlbpsacywv;1;23:36:49
99;51;cvxcngcxhi;0;16:58:59
100;51;cvxcngcxhi;2;17:27:24
101;52;xnkdsaqcey;0;10:30:20
102;52;xnkdsaqcey;1;11:22:49
103;53;iamoxnqjmt;0;22:41:47
104;53;iamoxnqjmt;2;23:58:17
105;54;xnkdsaqcey;0;02:21:21
106;54;xnkdsaqcey;1;22:55:26
107;55;icftmyxypf;0;21:40:51
108;55;icftmyxypf;1;23:55:45
109;56;xnkdsaqcey;0;02:57:59
110;56;xnkdsaqcey;2;03:25:09
111;57;bbfmrykqxk;0;01:36:07
112;57;bbfmrykqxk;1;20:53:01
113;58;xnkdsaqcey;0;19:50:19
114;58;xnkdsaqcey;2;22:58:12
115;59;mgaiwotgyi;0;04:56:13
116;59;mgaiwotgyi;2;10:28:14
117;60;xnkdsaqcey;0;10:20:24
118;60;xnkdsaqcey;1;19:56:11
119;61;owfzlpfxuj;0;12:23:29
120;61;owfzlpfxuj;2;18:47:11
121;62;hhewkxwvzi;0;01:11:42
122;62;hhewkxwvzi;1;07:33:00
123;63;lyeoxpfbah;0;15:05:53
124;63;lyeoxpfbah;2;16:51:05
125;64;hhewkxwvzi;0;09:49:35
126;64;hhewkxwvzi;1;20:13:38
127;65;fgpshbvgpw;0;11:44:34
128;66;hhewkxwvzi;0;02:26:26
129;66;hhewkxwvzi;2;03:24:45
130;67;yfwwjedqip;0;14:24:46
131;67;yfwwjedqip;1;19:45:54
132;68;hhewkxwvzi;0;04:10:03
133;68;hhewkxwvzi;2;09:28:41
134;69;vqntdkegrl;0;06:55:00
135;69;vqntdkegrl;1;06:55:57
136;70;thyrtwnsgs;0;21:32:45
137;70;thyrtwnsgs;1;22:16:48
138;71;swrfaomxof;0;21:52:33
139;71;swrfaomxof;2;23:48:25
