id;peer;recommended_peer
1;cioejwlhly;azovbzwucs
2;azovbzwucs;rokeogphhh
3;azovbzwucs;oikupfmulj
4;azovbzwucs;kshsgofmnw
5;azovbzwucs;urxhisfukb
6;azovbzwucs;iniohxckzw
7;azovbzwucs;rokeogphhh
8;rokeogphhh;doepcxgwiq
9;rokeogphhh;supwmendrk
10;rokeogphhh;oikupfmulj
11;rokeogphhh;ijqvmuiwja
12;rokeogphhh;xoytiyebxu
13;rokeogphhh;sfmnrsdkpm
14;rokeogphhh;icsiisjiiw
15;oikupfmulj;fsznkgzunp
16;oikupfmulj;urxhisfukb
17;oikupfmulj;jjyxdaigtb
18;oikupfmulj;hofnathxqt
19;oikupfmulj;iniohxckzw
20;oikupfmulj;ydmgbyefdx
21;oikupfmulj;lmsmawqsry
22;oikupfmulj;bwqhiklgji
23;urxhisfukb;whntowhrpc
24;urxhisfukb;izaihqvsyx
25;urxhisfukb;doepcxgwiq
26;urxhisfukb;vuhxbmmoqe
27;urxhisfukb;vckqykzrjv
28;urxhisfukb;supwmendrk
29;urxhisfukb;ldsvqmjejr
30;urxhisfukb;wxmpagmynx
31;urxhisfukb;klxezvdyqn
32;iniohxckzw;cjimlymmqh
33;iniohxckzw;wnextvzfzc
34;iniohxckzw;ijqvmuiwja
35;iniohxckzw;lbcymvxzei
36;iniohxckzw;wecmdqbuky
37;iniohxckzw;xoytiyebxu
38;iniohxckzw;vjjmfekzuc
39;doepcxgwiq;sxboaewhlj
40;doepcxgwiq;oaksrpmvgn
41;doepcxgwiq;qosxanztol
42;doepcxgwiq;ptnutonrqi
43;doepcxgwiq;icsiisjiiw
44;doepcxgwiq;ngrfloosxx
45;supwmendrk;erlgmfrmov
46;supwmendrk;fsznkgzunp
47;supwmendrk;omleithwuh
48;ijqvmuiwja;ejruvqfovv
49;ijqvmuiwja;azustalkzb
50;ijqvmuiwja;fiwfedwhww
51;ijqvmuiwja;fisvbojygo
52;ijqvmuiwja;jjyxdaigtb
53;ijqvmuiwja;nvehdjpzbc
54;ijqvmuiwja;aiuhgfkvlk
55;ijqvmuiwja;hofnathxqt
56;ijqvmuiwja;hhnsccmsen
57;xoytiyebxu;xgwiwzeroc
58;xoytiyebxu;ickerqhtzo
59;xoytiyebxu;dxjjagmflv
60;xoytiyebxu;gwzetxuctk
61;xoytiyebxu;ydmgbyefdx
62;xoytiyebxu;giscpxwlqs
63;xoytiyebxu;ouebygaidn
64;icsiisjiiw;lmsmawqsry
65;icsiisjiiw;gphcvamfbb
66;icsiisjiiw;knzfnadhwv
67;icsiisjiiw;ssotbsgvse
68;icsiisjiiw;yltzazzmkq
69;fsznkgzunp;ksigdcllyw
