id;checking_peer;checked_peer;points_amount
1;iosfiypdje;mvazvelhwy;2
2;wbbmjueeye;mvazvelhwy;1
3;iosfiypdje;wsiwgwornx;3
4;prbedzugjq;wsiwgwornx;1
5;xshctjmsxa;wsiwgwornx;1
6;jlbpsacywv;wsiwgwornx;1
7;xdurlvroay;iosfiypdje;1
8;xnkdsaqcey;iosfiypdje;3
9;fkqelnsrss;iosfiypdje;1
10;hhewkxwvzi;iosfiypdje;1
11;iosfiypdje;gdlzzcthpd;1
12;thyrtwnsgs;gdlzzcthpd;1
13;wbbmjueeye;gdlzzcthpd;4
14;tsbtjfdece;gdlzzcthpd;1
15;vexcsqfiqj;gdlzzcthpd;1
16;qgljzebhhh;iosfiypdje;1
17;wbbmjueeye;iosfiypdje;1
18;kztnjrkspn;iosfiypdje;1
19;prbedzugjq;iosfiypdje;2
20;gylmepbguu;iosfiypdje;1
21;fjztnkwlhg;iosfiypdje;1
22;prbedzugjq;ppferfnjmd;1
23;hyhhddrzho;ppferfnjmd;1
24;xshctjmsxa;ppferfnjmd;3
25;cyjmrrlgqe;ppferfnjmd;1
26;kcgpafloxc;ppferfnjmd;1
27;wofhxrcfmj;ppferfnjmd;1
28;jlbpsacywv;wbbmjueeye;4
29;wvhpheepdh;wbbmjueeye;2
30;ecqnbfpiue;wbbmjueeye;1
31;grmgfwmbln;wbbmjueeye;4
32;jlbpsacywv;knbhmawwwm;3
33;krwjayqexx;knbhmawwwm;1
34;rpwqhaxkeu;knbhmawwwm;1
35;cvxcngcxhi;knbhmawwwm;1
36;xnkdsaqcey;knbhmawwwm;1
37;iamoxnqjmt;iosfiypdje;1
38;icftmyxypf;iosfiypdje;1
39;bbfmrykqxk;uuaqguyejn;1
40;xnkdsaqcey;uuaqguyejn;1
41;mgaiwotgyi;prbedzugjq;1
42;xnkdsaqcey;prbedzugjq;1
43;owfzlpfxuj;prbedzugjq;3
44;hhewkxwvzi;prbedzugjq;3
45;lyeoxpfbah;prbedzugjq;1
46;yfwwjedqip;ptptrenntj;1
47;hhewkxwvzi;ptptrenntj;1
48;vqntdkegrl;iosfiypdje;1
49;thyrtwnsgs;iosfiypdje;1
50;swrfaomxof;iosfiypdje;1
51;thyrtwnsgs;fwiacqcpjt;1
52;zdqppzmxtw;fwiacqcpjt;1
53;tsbtjfdece;fwiacqcpjt;3
54;fwqbodsvpa;fwiacqcpjt;1
55;uikzndwawe;fwiacqcpjt;1
56;wvyxlwyzfp;fwiacqcpjt;1
57;tsbtjfdece;xshctjmsxa;3
58;puuiraipef;xshctjmsxa;1
59;pmmmfhgqst;xshctjmsxa;5
60;ridgedprtg;eoxiilxnhj;1
61;tsbtjfdece;eoxiilxnhj;4
62;rpsgcamffb;eoxiilxnhj;1
