id;check;state;time
1;1;0;04:20:18
2;1;1;08:53:48
3;2;0;09:29:40
4;2;1;18:40:43
5;3;0;17:47:22
6;3;1;22:12:21
7;5;0;05:14:08
8;5;2;09:16:30
9;6;0;21:31:26
10;6;1;22:08:44
11;8;0;15:05:32
12;8;1;21:12:52
13;10;0;18:27:58
14;10;2;21:55:27
15;11;0;09:07:57
16;11;1;19:30:57
17;12;0;14:37:24
18;12;1;22:31:24
19;13;0;16:51:31
20;13;1;19:50:14
21;15;0;23:54:02
22;15;1;23:55:17
23;16;0;03:04:51
24;16;2;13:07:08
25;18;0;03:19:53
26;18;1;06:29:46
27;23;0;15:32:00
28;23;1;19:47:51
29;25;0;16:42:16
30;25;2;18:36:27
31;26;0;20:02:27
32;26;1;22:04:02
33;27;0;01:46:47
34;27;2;13:08:14
35;29;0;16:42:56
36;29;1;17:14:07
37;32;0;05:12:49
38;32;1;08:47:57
39;34;0;09:26:27
40;34;1;18:21:05
41;35;0;10:06:59
42;35;1;10:19:09
43;37;0;02:40:36
44;37;2;15:02:48
45;38;0;14:08:56
46;38;2;17:20:10
47;39;0;16:55:27
48;39;2;17:59:12
49;41;0;03:37:28
50;41;1;05:26:12
51;42;0;01:39:16
52;42;1;10:49:02
53;44;0;17:27:38
54;44;1;20:12:17
55;47;0;09:37:14
56;47;1;18:41:27
57;50;0;09:00:58
58;50;1;20:08:00
59;52;0;07:59:10
60;52;1;20:15:57
61;54;0;02:16:47
62;54;2;17:44:07
63;55;0;03:31:37
64;55;2;12:24:19
65;57;0;23:48:06
66;57;2;23:51:53
67;60;0;12:13:53
68;60;1;19:13:09
69;62;0;21:59:15
70;62;1;23:23:04
71;64;0;13:51:55
72;64;2;20:44:04
73;67;0;06:40:08
74;67;1;16:05:00
75;69;0;12:56:01
76;69;2;15:39:57
77;70;0;22:38:54
78;70;1;23:39:24
79;74;0;06:20:34
80;74;1;16:36:14
81;75;0;03:49:51
82;75;2;11:42:48
83;76;0;12:06:25
84;76;2;20:51:32
85;77;0;12:31:19
86;77;1;23:25:29
87;79;0;02:52:53
88;79;1;18:02:16
89;81;0;01:24:17
90;81;2;19:08:43
91;83;0;12:43:20
92;83;1;21:43:23
93;86;0;19:48:46
94;86;2;22:59:53
95;88;0;03:21:32
96;88;2;10:05:50
97;91;0;23:50:20
98;91;2;23:58:42
99;94;0;20:27:16
100;94;2;22:06:37
101;95;0;07:17:10
102;95;1;09:06:33
103;96;0;08:21:40
104;96;1;10:12:46
105;97;0;23:54:12
106;97;1;23:55:41
107;101;0;04:53:49
108;101;2;17:54:17
109;103;0;15:03:27
110;103;1;16:33:26
111;105;0;08:52:38
112;105;1;10:13:43
113;106;0;17:05:58
114;106;1;17:07:54
115;107;0;18:49:53
116;107;1;22:21:10
117;110;0;21:03:28
118;110;2;22:45:51
119;113;0;19:58:33
120;113;1;22:30:02
121;114;0;07:37:22
122;114;1;18:19:13
123;119;0;17:54:14
124;119;2;19:14:30
125;121;0;01:20:16
126;121;1;21:07:19
127;123;0;15:35:49
128;123;1;23:53:36
129;124;0;12:59:32
130;124;2;19:04:05
131;125;0;15:06:33
132;125;2;21:20:56
133;127;0;05:24:05
134;127;2;14:48:33
135;132;0;19:20:12
136;132;2;19:54:47
137;133;0;07:51:00
138;133;1;20:13:30
139;134;0;01:14:07
140;134;1;16:13:33
141;135;0;15:30:37
142;135;2;19:22:13
143;140;0;16:43:52
