id;check;xp_amount
1;1;649
2;2;40
3;3;30
4;6;260
5;8;244
6;11;117
7;12;104
8;13;154
9;15;122
10;18;120
11;23;82
12;26;10
13;29;223
14;32;435
15;34;147
16;35;286
17;41;110
18;42;173
19;44;125
20;47;110
21;50;366
22;52;440
23;60;18
24;62;60
25;67;534
26;70;58
27;74;302
28;77;203
29;79;133
30;83;265
31;95;362
32;96;292
33;97;313
34;103;372
35;105;165
36;106;225
37;107;149
38;113;238
39;114;414
40;121;227
41;123;17
42;133;276
43;134;323
44;140;90
45;141;126
46;145;18
47;154;263
48;155;67
49;156;64
50;161;73
51;167;46
52;174;7
53;176;9
54;186;142
55;190;72
56;192;31
57;200;40
58;201;170
59;207;346
60;215;350
61;216;75
62;222;33
63;229;107
64;234;66
65;237;383
66;250;142
67;253;110
68;254;417
69;259;815
70;261;181
71;271;90
72;272;3
73;275;496
74;276;142
75;282;304
76;289;379
77;291;405
78;292;280
79;296;19
80;303;316
81;323;63
82;328;362
83;334;81
84;336;261
85;341;46
86;342;288
87;343;126
88;347;265
89;352;91
90;356;14
91;363;329
92;365;302
93;370;272
94;372;76
95;377;159
96;378;321
97;380;262
98;386;231
99;396;101
100;398;427
101;400;672
102;401;99
103;402;139
104;410;191
105;422;296
106;424;91
107;428;250
108;432;70
109;438;9
110;442;121
111;445;83
112;446;309
113;452;207
114;458;161
115;463;204
116;467;113
117;469;199
118;472;243
119;473;132
120;479;15
121;484;79
122;486;135
123;488;119
124;511;293
125;515;88
126;529;324
127;533;383
128;541;86
129;542;236
130;558;376
131;562;47
132;564;355
133;566;58
134;568;172
135;573;704
136;574;427
137;576;24
138;583;315
139;589;148
140;601;190
141;609;211
142;610;575
143;611;27
144;613;33
145;622;449
146;623;26
147;625;296
148;628;465
149;635;422
150;636;728
151;639;103
152;643;255
153;655;188
154;663;253
155;668;583
156;671;497
157;672;43
158;674;132
159;678;602
160;679;213
161;683;96
162;684;504
163;685;214
164;690;120
165;691;77
166;693;377
167;696;19
168;697;16
169;701;86
170;708;315
171;714;347
172;715;89
173;720;220
174;721;428
175;727;406
176;730;7
177;731;437
178;740;84
179;749;83
180;752;360
181;755;600
182;756;236
183;764;337
184;770;706
185;773;84
186;777;275
187;780;140
188;786;157
189;790;238
190;794;493
191;795;279
192;799;194
193;803;426
194;815;545
195;818;191
196;827;207
197;828;394
198;834;444
199;837;325
200;851;34
201;852;204
202;858;98
203;859;316
204;865;37
205;869;556
206;870;241
207;872;60
208;881;74
209;884;25
210;885;283
211;888;461
212;895;421
213;913;316
214;918;291
215;919;86
216;929;100
217;930;79
218;936;404
219;940;184
220;955;352
221;958;149
222;961;3
223;962;176
224;963;92
225;980;734
226;988;4
227;992;644
228;994;544
229;995;281
230;996;44
231;1001;44
232;1005;723
233;1012;199
234;1015;126
235;1019;123
236;1022;67
237;1026;603
238;1028;132
239;1039;331
240;1048;119
241;1051;524
242;1054;74
243;1057;109
244;1065;70
245;1071;49
246;1074;369
247;1080;397
248;1081;453
249;1084;25
250;1097;563
251;1098;210
252;1102;574
253;1104;620
254;1111;120
255;1125;393
256;1130;144
257;1135;697
258;1136;154
259;1139;581
260;1144;251
261;1148;60
262;1151;509
263;1155;134
264;1158;99
265;1159;740
266;1160;87
267;1162;274
268;1167;257
269;1168;73
270;1170;145
271;1171;97
272;1184;647
273;1198;249
274;1201;261
275;1204;426
276;1205;108
277;1214;57
278;1216;309
279;1218;456
280;1241;119
281;1243;666
282;1245;363
283;1262;262
284;1263;131
285;1271;314
286;1273;51
287;1276;66
288;1280;370
289;1282;131
290;1285;364
291;1286;800
292;1300;90
293;1302;141
294;1305;396
295;1308;15
296;1315;175
297;1324;132
298;1325;328
299;1329;213
300;1339;684
301;1342;301
302;1343;2
303;1345;224
304;1351;290
305;1357;207
306;1366;448
307;1373;32
308;1376;344
309;1384;87
310;1389;90
311;1393;593
312;1400;313
313;1402;66
314;1403;202
315;1422;102
316;1423;119
317;1427;421
318;1442;230
319;1445;161
320;1447;240
321;1460;378
322;1461;130
323;1464;445
324;1469;147
325;1470;60
326;1476;186
327;1477;98
328;1489;202
329;1492;64
330;1497;20
331;1498;51
332;1499;231
333;1500;72
334;1501;493
335;1504;700
336;1505;7
337;1515;550
338;1530;442
339;1532;44
340;1533;60
341;1535;448
342;1536;53
343;1537;407
344;1538;42
345;1540;369
346;1543;297
347;1555;62
348;1558;519
349;1569;627
350;1572;82
351;1574;72
352;1585;85
353;1586;233
354;1589;263
355;1590;324
356;1592;242
357;1594;314
358;1598;138
359;1599;425
360;1607;23
361;1611;356
362;1625;120
363;1630;762
364;1632;48
365;1641;334
366;1650;87
367;1657;222
368;1658;367
369;1664;20
370;1668;384
371;1669;423
372;1670;166
373;1672;185
374;1678;393
375;1681;177
376;1686;120
377;1687;21
378;1689;337
379;1691;77
380;1692;294
381;1696;590
382;1697;156
383;1700;265
384;1702;67
385;1713;430
386;1716;191
387;1721;109
388;1727;305
389;1732;303
390;1735;194
391;1738;30
392;1747;43
393;1748;264
394;1752;355
395;1762;101
396;1765;469
397;1767;405
398;1771;34
399;1772;105
400;1773;249
401;1777;48
402;1780;25
403;1784;452
404;1785;25
405;1789;534
406;1792;58
407;1799;820
408;1809;9
409;1815;188
410;1818;355
411;1820;43
412;1823;33
413;1828;269
414;1829;305
415;1834;496
416;1835;60
417;1837;2
418;1839;32
419;1840;317
420;1841;125
421;1843;55
422;1853;84
423;1863;137
424;1865;207
425;1871;63
426;1877;498
427;1878;34
428;1883;23
429;1886;327
430;1887;66
431;1889;251
432;1890;211
433;1892;922
434;1895;114
435;1921;307
436;1930;76
437;1932;318
438;1933;80
439;1938;172
440;1939;412
441;1940;469
442;1949;58
443;1959;111
